player,injury type,season,LEBRON diff,BPM diff,age,height,weight,previous injury,change,O-LEBRON diff,D-LEBRON diff,avg minutes,o-change,d-change
Ratliff,2,2010,-10,-10,37,82,225,1,1,-5,-5,16.5,4,4
Perkins,0,2010,-2.28,-1.65,25,82,270,0,2,-1.585,-0.68,26.9,1,2
Okur,1,2010,-2.04,-4.3,31,83,249,0,2,-0.585,-1.455,29.4,2,2
Andersen,0,2010,-1.575,0.65,32,82,245,0,3,-1.19,-0.39,22.3,2,3
Haslem,1,2010,-0.97,-0.35,30,80,235,0,3,-1.08,0.12,27.9,2,3
Howard,0,2010,-0.505,-2.1,30,79,210,0,2,-0.82,0.315,26.2,2,4
Bynum,0,2010,0.59,1.75,22,84,285,0,4,0.15,0.44,30.4,3,4
Butler,0,2010,1.285,-1.25,30,79,228,0,3,0.47,0.755,37.6,4,4
Paul,2,2010,2.895,1,24,72,175,0,4,2.185,0.715,38.3,4,4
Powe,2,2011,-10,-10,27,80,240,1,1,-5,-5,11.8,1,1
Thomas,2,2011,-3.51,-6.2,24,81,215,0,2,-1.1,-2.41,21,2,1
Camby,2,2011,-2.21,-3.1,36,83,220,1,2,-0.64,-1.575,31.3,2,1
Jerebko,1,2011,-1.115,0.5,23,82,231,0,3,-0.39,-0.73,27.9,3,2
Varejao,1,2011,-0.04,2.15,28,83,273,0,4,0.97,-1.01,32.1,4,2
Ayres,0,2011,0.95,1.1,23,81,240,0,4,1.865,-0.905,10.4,4,2
Barnes,2,2011,1.1,0.75,30,79,226,0,4,1.005,0.095,25.9,4,3
West,0,2011,1.845,1.1,30,81,250,0,4,0.265,1.57,35,4,4
Davis,0,2012,-10,-10,33,75,209,1,1,-5,-5,20.5,1,1
Caracter,2,2012,-10,-10,22,81,275,0,1,-5,-5,5.2,1,1
Najera,2,2012,-10,-10,35,80,240,0,1,-5,-5,12,1,1
Rose,0,2012,-4.605,-8.25,23,75,200,0,1,-3.89,-0.705,35.3,1,2
Hill,2,2012,-3.8,-4.9,39,80,225,1,1,-2.97,-0.84,28.1,1,2
Maynor,0,2012,-3.05,-3.45,24,75,175,0,2,-1.965,-1.115,14.6,1,2
Lin,2,2012,-2.075,-2.95,23,75,200,0,2,-1.165,-0.91,26.9,2,2
Billups,1,2012,-2.07,-4.4,36,75,202,0,1,-1.96,-0.11,30.4,1,3
R Williams,2,2012,-1.3,-0.6,25,78,205,0,3,0.03,-1.165,20.3,3,2
Harrington,2,2012,-1.17,-3.3,31,81,230,0,2,-1.175,0,27.5,2,3
Gibson,1,2012,-1.13,-3.2,25,74,190,0,2,-0.89,-0.235,26.2,2,3
